General 499	MSE 31.8117
37	31.1686
30.5	29.0973
36.4	34.6315
31.1	29.8072
29.1	27.5878
50	43.2021
33.3	36.5042
30.3	32.8462
34.6	36.172
34.9	31.9383
32.9	33.8354
24.1	21.7842
42.3	41.2539
48.5	43.1039
50	42.9692
22.6	20.4856
24.4	22.7135
22.5	20.025
24.4	24.2888
20	21.7403
21.7	24.0856
19.3	21.9098
22.4	23.3565
28.1	23.0199
23.7	21.0025
25	21.8906
23.3	23.7517
28.7	25.0066
21.5	24.1429
23	26.311
26.7	31.4962
21.7	25.1388
27.5	30.5989
30.1	24.802
44.8	41.2393
50	37.1419
37.6	42.8674
31.6	31.184
46.7	41.6552
31.5	27.2492
24.3	20.8912
31.7	37.9896
41.7	40.5952
48.3	41.2721
29	28.3606
24	21.395
25.1	28.0813
31.5	37.4559
23.7	26.6987
23.3	27.76
22	30.8301
20.1	21.4399
22.2	22.9119
23.7	25.9976
17.6	19.2682
18.5	19.3143
24.3	21.5053
20.5	22.131
24.5	23.4029
26.2	28.999
24.4	27.1537
24.8	26.3473
29.6	31.4328
42.8	41.6041
21.9	21.5053
20.9	23.7624
44	38.8648
50	37.4668
36	36.8951
30.1	26.9646
33.8	35.0743
43.1	39.8861
48.8	40.0294
31	37.0479
36.5	34.997
22.8	19.1425
30.7	32.1547
50	40.942
43.5	39.2035
20.7	23.8555
21.1	20.3335
25.2	25.5987
24.4	24.1605
35.2	42.0106
32.4	29.4732
32	30.4871
33.2	35.9864
33.1	30.0861
29.1	27.1348
35.1	30.0291
45.4	42.8392
35.4	31.7241
46	41.2209
50	43.299
32.2	33.4113
22	26.8705
20.1	22.1533
23.2	22.037
22.3	22.6467
24.8	27.1715
28.5	30.5657
37.3	34.348
27.9	28.2929
23.9	24.9915
21.7	21.0221
28.6	28.7141
27.1	24.2452
20.3	20.0541
22.5	25.5646
29	32.2223
24.8	30.5191
22	27.9283
26.4	26.8938
33.1	31.8575
36.1	35.6112
28.4	24.7852
33.4	38.6128
28.2	27.042
22.8	24.9463
20.3	20.8497
16.1	17.0862
22.1	21.5765
19.4	21.0884
21.6	22.3576
23.8	24.3861
16.2	19.707
17.8	20.5873
19.8	20.0208
23.1	23.0649
21	21.5307
23.8	23.3554
23.1	23.0263
20.4	21.1746
18.5	19.719
25	23.2815
24.6	26.6916
23	22.6286
22.2	21.3801
19.3	20.3853
22.6	25.6279
19.8	21.6899
17.1	19.711
19.4	23.7515
22.2	22.6528
20.7	22.6166
21.1	21.1554
19.5	20.3897
18.5	20.5032
20.6	21.2619
19	20.9098
18.7	20.8313
32.7	35.7178
16.5	24.1758
23.9	25.4892
31.2	30.4815
17.5	21.0457
17.2	20.5164
23.1	27.2639
24.5	28.1777
26.6	31.3004
22.9	23.8031
24.1	27.2645
18.6	23.722
30.1	28.8645
18.2	19.5402
20.6	20.6857
17.8	24.9778
21.7	26.3909
22.7	24.9512
22.6	21.5256
25	23.169
19.9	22.2716
20.8	18.4151
16.8	22.5796
21.9	36.275
27.5	13.1327
21.9	17.0534
23.1	13.8123
50	17.0763
50	28.2441
50	32.3455
50	22.0755
50	22.8076
13.8	16.8674
13.8	14.5401
15	33.5291
13.9	25.0674
13.3	26.4504
13.1	23.052
10.2	22.1143
10.4	28.4596
10.9	24.2142
11.3	19.0519
12.3	18.9919
8.8	15.1996
7.2	18.1149
10.5	16.0603
7.4	17.1751
10.2	16.7832
11.5	18.5154
15.1	19.7391
23.2	21.223
9.7	17.2943
13.8	21.9498
12.7	20.4681
13.1	23.6669
12.5	23.2151
8.5	19.8768
5	18.744
6.3	20.3163
5.6	20.9191
7.2	22.8181
12.1	23.2085
8.3	18.3688
8.5	19.0331
5	19.6192
